,29,行业产能,生产,中国,1000000,2019-01-31 00:00:00
55,29,原油产量,生产,美国,2000000.0,2019-05-31 00:00:00
56,29,原油产量,生产,英国,2500000.0,2019-06-30 00:00:00
57,29,原油产量,生产,英国,2500000.0,2019-07-31 00:00:00
58,29,现货价格,价格,中国,1000.0,2017-07-31 00:00:00
59,29,现货价格,价格,美国,2000.0,2017-08-31 00:00:00
60,29,现货价格,价格,英国,2500.0,2017-09-30 00:00:00
61,29,现货价格,价格,中国,1000.0,2017-10-31 00:00:00
62,29,现货价格,价格,美国,2000.0,2017-11-30 00:00:00
63,29,现货价格,价格,英国,2500.0,2017-12-31 00:00:00
64,29,现货价格,价格,中国,1000.0,2018-01-31 00:00:00
65,29,现货价格,价格,美国,2000.0,2018-02-28 00:00:00
66,29,现货价格,价格,英国,2500.0,2018-03-31 00:00:00
67,29,现货价格,价格,中国,1000.0,2018-04-30 00:00:00
68,29,现货价格,价格,美国,2000.0,2018-05-31 00:00:00
69,29,现货价格,价格,英国,2500.0,2018-06-30 00:00:00
70,29,现货价格,价格,中国,1000.0,2018-07-31 00:00:00
71,29,现货价格,价格,美国,2000.0,2018-08-31 00:00:00
72,29,现货价格,价格,英国,2500.0,2018-09-30 00:00:00
73,29,现货价格,价格,中国,1000.0,2018-10-31 00:00:00
74,29,现货价格,价格,美国,2000.0,2018-11-30 00:00:00
75,29,现货价格,价格,英国,2500.0,2018-12-31 00:00:00
76,29,现货价格,价格,中国,1000.0,2019-01-31 00:00:00
77,29,现货价格,价格,美国,2000.0,2019-02-28 00:00:00
78,29,现货价格,价格,英国,2500.0,2019-03-31 00:00:00
79,29,现货价格,价格,中国,1000.0,2019-04-30 00:00:00
80,29,现货价格,价格,美国,2000.0,2019-05-31 00:00:00
81,29,现货价格,价格,英国,2500.0,2019-06-30 00:00:00
82,30,现货价格,价格,英国,2501.0,2019-07-31 00:00:00
83,29,期货价格,价格,中国,1000.0,2017-10-31 00:00:00
84,29,期货价格,价格,美国,2000.0,2017-11-30 00:00:00
85,29,期货价格,价格,英国,2500.0,2017-12-31 00:00:00
86,30,现货价格,价格,英国,2501.0,2018-01-31 00:00:00
87,29,期货价格,价格,中国,1000.0,2018-02-28 00:00:00
88,29,期货价格,价格,美国,2000.0,2018-03-31 00:00:00
89,29,期货价格,价格,英国,2500.0,2018-04-30 00:00:00
90,30,现货价格,价格,英国,2501.0,2018-05-31 00:00:00
91,29,期货价格,价格,中国,1000.0,2018-06-30 00:00:00
92,29,期货价格,价格,美国,2000.0,2018-07-31 00:00:00
93,29,期货价格,价格,英国,2500.0,2018-08-31 00:00:00
94,30,现货价格,价格,英国,2501.0,2018-09-30 00:00:00
95,29,期货价格,价格,中国,1000.0,2018-10-31 00:00:00
96,29,期货价格,价格,美国,2000.0,2018-11-30 00:00:00
97,29,期货价格,价格,英国,2500.0,2018-12-31 00:00:00
98,29,期货价格,价格,美国,2000.0,2019-01-31 00:00:00
99,29,期货价格,价格,英国,2500.0,2019-02-28 00:00:00
100,30,现货价格,价格,英国,2501.0,2019-03-31 00:00:00
101,29,期货价格,价格,中国,1000.0,2019-04-30 00:00:00
102,29,期货价格,价格,美国,2000.0,2019-05-31 00:00:00
103,29,期货价格,价格,英国,2500.0,2019-06-30 00:00:00
104,30,期货价格,价格,英国,2501.0,2019-07-31 00:00:00
105,43,全国普钢价格指数,价格,北京,121.0,2019-02-28 00:00:00
106,43,全国普钢价格指数,价格,天津,112.0,2019-03-31 00:00:00
107,43,全国普钢价格指数,价格,上海,132.0,2019-04-30 00:00:00
108,43,全国普钢价格指数,价格,北京,121.0,2019-05-31 00:00:00
109,43,全国普钢价格指数,价格,天津,112.0,2019-06-30 00:00:00
110,43,全国普钢价格指数,价格,上海,132.0,2019-07-31 00:00:00
111,58,出场价,价格,全国,672.39,2015-01-07 00:00:00
112,58,出场价,价格,全国,672.99,2015-01-14 00:00:00
113,58,出场价,价格,全国,670.48,2015-01-21 00:00:00
114,58,出场价,价格,全国,659.79,2015-01-28 00:00:00
115,58,出场价,价格,全国,650.26,2015-02-04 00:00:00
116,58,出场价,价格,全国,632.17,2015-02-11 00:00:00
117,58,出场价,价格,全国,628.39,2015-02-18 00:00:00
118,58,出场价,价格,全国,627.59,2015-02-25 00:00:00
119,58,出场价,价格,全国,620.59,2015-03-04 00:00:00
120,58,出场价,价格,全国,609.15,2015-03-11 00:00:00
121,58,出场价,价格,全国,604.98,2015-03-18 00:00:00
122,58,出场价,价格,全国,614.47,2015-03-25 00:00:00
123,58,出场价,价格,全国,786.12,2015-07-01 00:00:00
124,58,出场价,价格,全国,827.73,2015-07-08 00:00:00
125,58,出场价,价格,全国,853.21,2015-07-15 00:00:00
126,58,出场价,价格,全国,870.21,2015-07-22 00:00:00
127,58,出场价,价格,全国,890.22,2015-07-29 00:00:00
128,58,出场价,价格,全国,914.79,2015-08-05 00:00:00
129,58,出场价,价格,全国,916.63,2015-08-12 00:00:00
130,58,出场价,价格,全国,910.85,2015-08-19 00:00:00
131,58,出场价,价格,全国,919.1,2015-08-26 00:00:00
132,58,出场价,价格,全国,918.42,2015-09-02 00:00:00
133,58,出场价,价格,全国,918.87,2015-09-09 00:00:00
134,58,出场价,价格,全国,905.5,2015-09-16 00:00:00
135,58,出场价,价格,全国,891.62,2015-09-23 00:00:00
136,58,出场价,价格,全国,882.81,2015-09-30 00:00:00
137,58,出场价,价格,全国,878.79,2015-10-07 00:00:00
138,58,出场价,价格,全国,873.43,2015-10-14 00:00:00
139,58,出场价,价格,全国,853.91,2015-10-21 00:00:00
140,58,出场价,价格,全国,839.35,2015-10-28 00:00:00
141,58,出场价,价格,全国,828.11,2015-11-04 00:00:00
142,58,出场价,价格,全国,820.92,2015-11-11 00:00:00
143,58,出场价,价格,全国,818.15,2015-11-18 00:00:00
144,58,出场价,价格,全国,822.77,2015-11-25 00:00:00
145,58,出场价,价格,全国,834.22,2015-12-02 00:00:00
146,58,出场价,价格,全国,842.71,2015-12-09 00:00:00
147,58,出场价,价格,全国,843.31,2015-12-16 00:00:00
148,58,出场价,价格,全国,839.49,2015-12-23 00:00:00
149,58,出场价,价格,全国,840.04,2015-12-30 00:00:00
150,58,出场价,价格,全国,856.49,2016-01-06 00:00:00
151,58,出场价,价格,全国,886.4,2016-01-13 00:00:00
152,58,出场价,价格,全国,889.09,2016-01-20 00:00:00
153,58,出场价,价格,全国,901.67,2016-01-27 00:00:00
154,58,出场价,价格,全国,915.69,2016-02-03 00:00:00
155,58,出场价,价格,全国,922.69,2016-02-10 00:00:00
156,58,出场价,价格,全国,923.08,2016-02-17 00:00:00
157,58,出场价,价格,全国,915.13,2016-02-24 00:00:00
158,58,出场价,价格,全国,914.01,2016-03-02 00:00:00
159,58,出场价,价格,全国,931.6,2016-03-09 00:00:00
160,58,出场价,价格,全国,945.4,2016-03-16 00:00:00
161,58,出场价,价格,全国,973.76,2016-03-23 00:00:00
162,58,出场价,价格,全国,989.78,2016-03-30 00:00:00
163,58,出场价,价格,全国,995.54,2016-04-06 00:00:00
164,58,出场价,价格,全国,1000.14,2016-04-13 00:00:00
165,58,出场价,价格,全国,1004.39,2016-04-20 00:00:00
166,58,出场价,价格,全国,1014.06,2016-04-27 00:00:00
167,58,出场价,价格,全国,1029.76,2016-05-04 00:00:00
168,58,出场价,价格,全国,1035.22,2016-05-11 00:00:00
169,58,出场价,价格,全国,1040.58,2016-05-18 00:00:00
170,58,出场价,价格,全国,1045.87,2016-05-25 00:00:00
171,58,出场价,价格,全国,1051.71,2016-06-01 00:00:00
172,58,出场价,价格,全国,1052.48,2016-06-08 00:00:00
173,58,出场价,价格,全国,1043.74,2016-06-15 00:00:00
174,58,出场价,价格,全国,1020.27,2016-06-22 00:00:00
175,58,出场价,价格,全国,988.81,2016-06-29 00:00:00
176,58,出场价,价格,全国,962.14,2016-07-06 00:00:00
177,58,出场价,价格,全国,947.8,2016-07-13 00:00:00
178,58,出场价,价格,全国,945.43,2016-07-20 00:00:00
179,58,出场价,价格,全国,933.44,2016-07-27 00:00:00
180,58,出场价,价格,全国,919.87,2016-08-03 00:00:00
181,58,出场价,价格,全国,932.05,2016-08-10 00:00:00
182,58,出场价,价格,全国,934.41,2016-08-17 00:00:00
183,58,出场价,价格,全国,933.42,2016-08-24 00:00:00
184,58,出场价,价格,全国,931.21,2016-08-31 00:00:00
185,58,出场价,价格,全国,932.84,2016-09-07 00:00:00
186,58,出场价,价格,全国,929.46,2016-09-14 00:00:00
187,58,出场价,价格,全国,922.81,2016-09-21 00:00:00
188,58,出场价,价格,全国,899.81,2016-09-28 00:00:00
189,58,出场价,价格,全国,880.21,2016-10-05 00:00:00
190,58,出场价,价格,全国,857.82,2016-10-12 00:00:00
191,58,出场价,价格,全国,825.44,2016-10-19 00:00:00
192,58,出场价,价格,全国,827.73,2016-10-26 00:00:00
193,58,出场价,价格,全国,835.35,2016-11-02 00:00:00
194,58,出场价,价格,全国,840.92,2016-11-09 00:00:00
195,58,出场价,价格,全国,851.03,2016-11-16 00:00:00
196,58,出场价,价格,全国,850.06,2016-11-23 00:00:00
197,58,出场价,价格,全国,857.22,2016-11-30 00:00:00
198,58,出场价,价格,全国,862.54,2016-12-07 00:00:00
199,58,出场价,价格,全国,870.53,2016-12-14 00:00:00
200,58,出场价,价格,全国,871.32,2016-12-21 00:00:00
201,58,出场价,价格,全国,875.99,2016-12-28 00:00:00
202,58,出场价,价格,全国,896.99,2017-01-04 00:00:00
203,58,出场价,价格,全国,911.56,2017-01-11 00:00:00
204,58,出场价,价格,全国,912.19,2017-01-18 00:00:00
205,58,出场价,价格,全国,907.67,2017-01-25 00:00:00
206,58,出场价,价格,全国,906.96,2017-02-01 00:00:00
207,58,出场价,价格,全国,891.47,2017-02-08 00:00:00
208,58,出场价,价格,全国,869.39,2017-02-15 00:00:00
209,58,出场价,价格,全国,858.98,2017-02-22 00:00:00
210,58,出场价,价格,全国,848.0,2017-03-01 00:00:00
211,58,出场价,价格,全国,831.23,2017-03-08 00:00:00
212,58,出场价,价格,全国,810.95,2017-03-15 00:00:00
213,58,出场价,价格,全国,810.37,2017-03-22 00:00:00
214,58,出场价,价格,全国,815.02,2017-03-29 00:00:00
215,58,出场价,价格,全国,808.28,2017-04-05 00:00:00
216,58,出场价,价格,全国,803.29,2017-04-12 00:00:00
217,58,出场价,价格,全国,792.56,2017-04-19 00:00:00
218,58,出场价,价格,全国,772.64,2017-04-26 00:00:00
219,58,出场价,价格,全国,760.9,2017-05-03 00:00:00
220,58,出场价,价格,全国,745.66,2017-05-10 00:00:00
221,58,出场价,价格,全国,726.51,2017-05-17 00:00:00
222,58,出场价,价格,全国,705.8,2017-05-24 00:00:00
223,58,出场价,价格,全国,679.38,2017-05-31 00:00:00
224,58,出场价,价格,全国,671.67,2017-06-07 00:00:00
225,58,出场价,价格,全国,689.18,2017-06-14 00:00:00
226,58,出场价,价格,全国,690.7,2017-06-21 00:00:00
227,58,出场价,价格,全国,700.95,2017-06-28 00:00:00
228,58,出场价,价格,全国,704.24,2017-07-05 00:00:00
229,58,出场价,价格,全国,706.33,2017-07-12 00:00:00
230,58,出场价,价格,全国,704.97,2017-07-19 00:00:00
231,58,出场价,价格,全国,701.92,2017-07-26 00:00:00
232,58,出场价,价格,全国,701.68,2017-08-02 00:00:00
233,58,出场价,价格,全国,728.25,2017-08-09 00:00:00
234,58,出场价,价格,全国,729.22,2017-08-16 00:00:00
235,58,出场价,价格,全国,737.42,2017-08-23 00:00:00
236,58,出场价,价格,全国,734.58,2017-08-30 00:00:00
237,58,出场价,价格,全国,745.45,2017-09-06 00:00:00
238,58,出场价,价格,全国,744.2,2017-09-13 00:00:00
239,58,出场价,价格,全国,742.8,2017-09-20 00:00:00
240,58,出场价,价格,全国,735.34,2017-09-27 00:00:00
241,58,出场价,价格,全国,731.72,2017-10-04 00:00:00
242,58,出场价,价格,全国,726.56,2017-10-11 00:00:00
243,58,出场价,价格,全国,722.35,2017-10-18 00:00:00
244,58,出场价,价格,全国,723.86,2017-10-25 00:00:00
245,58,出场价,价格,全国,723.5,2017-11-01 00:00:00
246,58,出场价,价格,全国,722.93,2017-11-08 00:00:00
247,58,出场价,价格,全国,723.87,2017-11-15 00:00:00
248,58,出场价,价格,全国,726.32,2017-11-22 00:00:00
249,58,出场价,价格,全国,732.38,2017-11-29 00:00:00
250,58,出场价,价格,全国,748.11,2017-12-06 00:00:00
251,58,出场价,价格,全国,757.97,2017-12-13 00:00:00
252,58,出场价,价格,全国,760.07,2017-12-20 00:00:00
253,58,出场价,价格,全国,760.5,2017-12-27 00:00:00
254,58,出场价,价格,全国,758.16,2018-01-03 00:00:00
255,58,出场价,价格,全国,766.82,2018-01-10 00:00:00
256,58,出场价,价格,全国,763.75,2018-01-17 00:00:00
257,58,出场价,价格,全国,758.24,2018-01-24 00:00:00
258,58,出场价,价格,全国,748.89,2018-01-31 00:00:00
259,58,出场价,价格,全国,719.5,2018-02-07 00:00:00
260,58,出场价,价格,全国,692.56,2018-02-14 00:00:00
261,58,出场价,价格,全国,686.47,2018-02-21 00:00:00
262,58,出场价,价格,全国,647.45,2018-02-28 00:00:00
263,58,出场价,价格,全国,613.69,2018-03-07 00:00:00
264,58,出场价,价格,全国,594.72,2018-03-14 00:00:00
265,58,出场价,价格,全国,568.86,2018-03-21 00:00:00
266,58,出场价,价格,全国,544.46,2018-03-28 00:00:00
267,58,出场价,价格,全国,549.8,2018-04-04 00:00:00
268,58,出场价,价格,全国,543.85,2018-04-11 00:00:00
269,58,出场价,价格,全国,540.0,2018-04-18 00:00:00
270,58,出场价,价格,全国,535.19,2018-04-25 00:00:00
271,58,出场价,价格,全国,526.28,2018-05-02 00:00:00
272,58,出场价,价格,全国,519.98,2018-05-09 00:00:00
273,58,出场价,价格,全国,519.47,2018-05-16 00:00:00
274,58,出场价,价格,全国,525.85,2018-05-23 00:00:00
275,58,出场价,价格,全国,562.26,2018-05-30 00:00:00
276,58,出场价,价格,全国,570.26,2018-06-06 00:00:00
277,58,出场价,价格,全国,578.99,2018-06-13 00:00:00
278,58,出场价,价格,全国,579.98,2018-06-20 00:00:00
279,58,出场价,价格,全国,581.6,2018-06-27 00:00:00
280,58,出场价,价格,全国,582.68,2018-07-04 00:00:00
281,58,出场价,价格,全国,611.65,2018-07-11 00:00:00
282,58,出场价,价格,全国,621.0,2018-07-18 00:00:00
283,58,出场价,价格,全国,644.36,2018-07-25 00:00:00
284,58,出场价,价格,全国,657.02,2018-08-01 00:00:00
285,58,出场价,价格,全国,686.07,2018-08-08 00:00:00
286,58,出场价,价格,全国,706.67,2018-08-15 00:00:00
287,58,出场价,价格,全国,703.76,2018-08-22 00:00:00
288,58,出场价,价格,全国,700.07,2018-08-29 00:00:00
289,58,出场价,价格,全国,720.11,2018-09-05 00:00:00
290,58,出场价,价格,全国,730.37,2018-09-12 00:00:00
291,58,出场价,价格,全国,733.45,2018-09-19 00:00:00
292,58,出场价,价格,全国,731.93,2018-09-26 00:00:00
293,58,出场价,价格,全国,724.74,2018-10-10 00:00:00
294,58,出场价,价格,全国,720.44,2018-10-17 00:00:00
295,58,出场价,价格,全国,721.71,2018-10-24 00:00:00
296,58,出场价,价格,全国,719.62,2018-10-31 00:00:00
297,58,出场价,价格,全国,712.66,2018-11-07 00:00:00
298,58,出场价,价格,全国,707.53,2018-11-14 00:00:00
299,58,出场价,价格,全国,708.08,2018-11-21 00:00:00
300,58,出场价,价格,全国,705.73,2018-11-28 00:00:00
301,58,出场价,价格,全国,710.68,2018-12-05 00:00:00
302,58,出场价,价格,全国,708.71,2018-12-12 00:00:00
303,58,出场价,价格,全国,702.05,2018-12-19 00:00:00
304,58,出场价,价格,全国,695.46,2018-12-26 00:00:00
305,58,出场价,价格,全国,696.06,2019-01-02 00:00:00
306,58,出场价,价格,全国,684.15,2019-01-09 00:00:00
307,58,出场价,价格,全国,661.21,2019-01-16 00:00:00
308,58,出场价,价格,全国,632.5,2019-01-23 00:00:00
309,58,出场价,价格,全国,610.48,2019-01-30 00:00:00
310,58,出场价,价格,全国,635.92,2019-02-13 00:00:00
311,58,出场价,价格,全国,641.76,2019-02-20 00:00:00
312,58,出场价,价格,全国,643.25,2019-02-27 00:00:00
313,58,出场价,价格,全国,651.13,2019-03-06 00:00:00
314,58,出场价,价格,全国,737.23,2019-03-13 00:00:00
315,58,出场价,价格,全国,756.91,2019-03-20 00:00:00
316,58,出场价,价格,全国,761.19,2019-03-27 00:00:00
317,58,出场价,价格,全国,763.77,2019-04-03 00:00:00
318,58,出场价,价格,全国,759.02,2019-04-10 00:00:00
319,58,出场价,价格,全国,749.91,2019-04-17 00:00:00
320,58,出场价,价格,全国,747.11,2019-04-24 00:00:00
321,58,出场价,价格,全国,758.17,2019-05-08 00:00:00
322,58,出场价,价格,全国,759.31,2019-05-15 00:00:00
323,58,出场价,价格,全国,758.07,2019-05-22 00:00:00
324,58,出场价,价格,全国,758.41,2019-05-29 00:00:00
325,58,出场价,价格,全国,781.62,2019-06-05 00:00:00
326,58,出场价,价格,全国,791.65,2019-06-12 00:00:00
327,58,出场价,价格,全国,819.67,2019-06-19 00:00:00
328,58,出场价,价格,全国,856.39,2019-06-26 00:00:00
329,58,出场价,价格,全国,865.99,2019-07-03 00:00:00
330,58,出场价,价格,全国,880.25,2019-07-10 00:00:00
331,58,出场价,价格,全国,918.09,2019-07-17 00:00:00
332,58,出场价,价格,全国,935.47,2019-07-24 00:00:00
333,58,出场价,价格,全国,949.64,2019-07-31 00:00:00
334,58,出场价,价格,全国,989.28,2019-08-07 00:00:00
335,58,出场价,价格,全国,1089.69,2019-08-14 00:00:00
336,58,肉－猪价差,价格,北京,100.0,2017-01-01 00:00:00
337,58,肉－猪价差,价格,天津,87.0,2017-01-02 00:00:00
338,58,肉－猪价差,价格,上海,78.8,2017-01-03 00:00:00
339,58,肉－猪价差,价格,重庆,100.0,2017-01-04 00:00:00
340,58,肉－猪价差,价格,辽宁省,87.0,2017-01-05 00:00:00
341,58,肉－猪价差,价格,浙江省,78.8,2017-01-06 00:00:00
342,58,肉－猪价差,价格,广西,100.0,2017-01-07 00:00:00
343,58,肉－猪价差,价格,新疆,87.0,2017-01-08 00:00:00
344,58,肉－猪价差,价格,内蒙古,100.0,2017-01-09 00:00:00
345,58,肉－猪价差,价格,海南省,100.0,2017-01-10 00:00:00
346,58,肉－猪价差,价格,西藏,87.0,2017-01-11 00:00:00
347,58,肉－猪价差,价格,河北省,78.8,2017-01-12 00:00:00
348,58,肉－猪价差,价格,北京,100.0,2017-01-13 00:00:00
349,58,肉－猪价差,价格,天津,87.0,2017-01-14 00:00:00
350,58,肉－猪价差,价格,上海,78.8,2017-01-15 00:00:00
351,58,肉－猪价差,价格,重庆,100.0,2017-01-16 00:00:00
352,58,肉－猪价差,价格,辽宁省,87.0,2017-01-17 00:00:00
353,58,肉－猪价差,价格,浙江省,78.8,2017-01-18 00:00:00
354,58,肉－猪价差,价格,广西,100.0,2017-01-19 00:00:00
355,58,肉－猪价差,价格,新疆,87.0,2017-01-20 00:00:00
356,58,肉－猪价差,价格,内蒙古,100.0,2017-01-21 00:00:00
357,58,肉－猪价差,价格,海南省,100.0,2017-01-22 00:00:00
358,58,肉－猪价差,价格,西藏,87.0,2017-01-23 00:00:00
359,58,肉－猪价差,价格,河北省,78.8,2017-01-24 00:00:00
360,58,肉－猪价差,价格,北京,100.0,2017-01-25 00:00:00
361,58,肉－猪价差,价格,天津,87.0,2017-01-26 00:00:00
362,58,肉－猪价差,价格,上海,78.8,2017-01-27 00:00:00
363,58,肉－猪价差,价格,重庆,100.0,2017-01-28 00:00:00
364,58,肉－猪价差,价格,辽宁省,87.0,2017-01-29 00:00:00
365,58,肉－猪价差,价格,浙江省,78.8,2017-01-30 00:00:00
366,58,肉－猪价差,价格,广西,100.0,2017-01-31 00:00:00
367,58,肉－猪价差,价格,新疆,87.0,2017-02-01 00:00:00
368,58,肉－猪价差,价格,内蒙古,100.0,2017-02-02 00:00:00
369,58,肉－猪价差,价格,海南省,100.0,2017-02-03 00:00:00
370,58,肉－猪价差,价格,西藏,87.0,2017-02-04 00:00:00
371,58,肉－猪价差,价格,河北省,78.8,2017-02-05 00:00:00
372,58,肉－猪价差,价格,北京,100.0,2017-02-06 00:00:00
373,58,肉－猪价差,价格,天津,87.0,2017-02-07 00:00:00
374,58,肉－猪价差,价格,上海,78.8,2017-02-08 00:00:00
375,58,肉－猪价差,价格,重庆,100.0,2017-02-09 00:00:00
376,58,肉－猪价差,价格,辽宁省,87.0,2017-02-10 00:00:00
377,58,肉－猪价差,价格,浙江省,78.8,2017-02-11 00:00:00
378,58,肉－猪价差,价格,广西,100.0,2017-02-12 00:00:00
379,58,肉－猪价差,价格,新疆,87.0,2017-02-13 00:00:00
380,58,肉－猪价差,价格,内蒙古,100.0,2017-02-14 00:00:00
381,58,肉－猪价差,价格,海南省,100.0,2017-02-15 00:00:00
382,58,肉－猪价差,价格,西藏,87.0,2017-02-16 00:00:00
383,58,肉－猪价差,价格,河北省,78.8,2017-02-17 00:00:00
384,58,肉－猪价差,价格,北京,100.0,2017-02-18 00:00:00
385,58,肉－猪价差,价格,天津,87.0,2017-02-19 00:00:00
386,58,肉－猪价差,价格,上海,78.8,2017-02-20 00:00:00
387,58,肉－猪价差,价格,重庆,100.0,2017-02-21 00:00:00
388,58,肉－猪价差,价格,辽宁省,87.0,2017-02-22 00:00:00
389,58,肉－猪价差,价格,浙江省,78.8,2017-02-23 00:00:00
390,58,肉－猪价差,价格,广西,100.0,2017-02-24 00:00:00
391,58,肉－猪价差,价格,新疆,87.0,2017-02-25 00:00:00
392,58,肉－猪价差,价格,内蒙古,100.0,2017-02-26 00:00:00
393,58,肉－猪价差,价格,海南省,100.0,2017-02-27 00:00:00
394,58,肉－猪价差,价格,西藏,87.0,2017-02-28 00:00:00
395,58,肉－猪价差,价格,河北省,78.8,2017-03-01 00:00:00
396,58,肉－猪价差,价格,北京,100.0,2017-03-02 00:00:00
397,58,肉－猪价差,价格,天津,87.0,2017-03-03 00:00:00
398,58,肉－猪价差,价格,上海,78.8,2017-03-04 00:00:00
399,58,肉－猪价差,价格,重庆,100.0,2017-03-05 00:00:00
400,58,肉－猪价差,价格,辽宁省,87.0,2017-03-06 00:00:00
401,58,肉－猪价差,价格,浙江省,78.8,2017-03-07 00:00:00
402,58,肉－猪价差,价格,广西,100.0,2017-03-08 00:00:00
403,58,肉－猪价差,价格,新疆,87.0,2017-03-09 00:00:00
404,58,肉－猪价差,价格,内蒙古,100.0,2017-03-10 00:00:00
405,58,肉－猪价差,价格,海南省,100.0,2017-03-11 00:00:00
406,58,肉－猪价差,价格,西藏,87.0,2017-03-12 00:00:00
407,58,肉－猪价差,价格,河北省,78.8,2017-03-13 00:00:00
408,58,肉－猪价差,价格,北京,100.0,2017-03-14 00:00:00
409,58,肉－猪价差,价格,天津,87.0,2017-03-15 00:00:00
410,58,肉－猪价差,价格,上海,78.8,2017-03-16 00:00:00
411,58,肉－猪价差,价格,重庆,100.0,2017-03-17 00:00:00
412,58,肉－猪价差,价格,辽宁省,87.0,2017-03-18 00:00:00
413,58,肉－猪价差,价格,浙江省,78.8,2017-03-19 00:00:00
414,58,肉－猪价差,价格,广西,100.0,2017-03-20 00:00:00
415,58,肉－猪价差,价格,新疆,87.0,2017-03-21 00:00:00
416,58,肉－猪价差,价格,内蒙古,100.0,2017-03-22 00:00:00
417,58,肉－猪价差,价格,海南省,100.0,2017-03-23 00:00:00
418,58,肉－猪价差,价格,西藏,87.0,2017-03-24 00:00:00
419,58,肉－猪价差,价格,河北省,78.8,2017-03-25 00:00:00
420,58,肉－猪价差,价格,北京,100.0,2017-03-26 00:00:00
421,58,肉－猪价差,价格,天津,87.0,2017-03-27 00:00:00
422,58,肉－猪价差,价格,上海,78.8,2017-03-28 00:00:00
423,58,肉－猪价差,价格,重庆,100.0,2017-03-29 00:00:00
